id;document;name;phoneNumber;birthDate;state;gender;filial
1;72072384281;Srta. Lucicleide Nogueira;(93) 40478-5087;29-10-1963;Rio Grande do Norte;masculino;filial_3
2;399.436.963-03;Cristiane Oliveira;+55 (31) 5681-1613;24-12-1986;Amazonas;;filial_3
3;70553356127;Iarali Oliveira;(72) 1555-3616;17-01-1979;Rondônia;feminino;filial_3
4;00612110796;Dr. Adauto Oliveira Jr.;(61) 6532-6617;23-05-1989;Minas Gerais;;filial_3
5;48974582937;Lydia Franco;(43) 86976-5772;10-02-1966;RN;;filial_3
6;56.607.660/3152-63;Sra. Tersildo Batista;(70) 73760-8099;04-03-1977;Sergipe;masculino;filial_3
7;36321885530720;Romilda Oliveira;(24) 31801-1850;26-01-1970;MT;feminino;filial_3
8;386.373.837-34;Suzana Batista;(14) 11050-9034;14-08-1984;SC;masculino;filial_3
9;21468344129;Maciel Braga;+55 (33) 2983-4099;17-09-1966;MA;masculino;filial_3
10;34624453085;Sra. Sr. Kiyoko Nogueira;+55 (67) 5357-7132;01-09-1972;Roraima;feminino;filial_3
11;86250121595;Cristina Barros;(01) 6944-5921;05-02-1973;ES;;filial_3
12;40444273301;Dr. Thalita Melo;+55 (27) 0934-8426;10-02-1968;AL;feminino;filial_3
13;72744869341;Sra. Analice Moreira Filho;(45) 89792-7133;22-09-1974;BA;masculino;filial_3
14;83231948401;Sra. Rachel Jr.;+55 (30) 6553-2551;23-04-1971;CE;feminino;filial_3
15;21234856166;Dr. Kátia Barros;+55 (95) 8205-5468;28-07-1963;Pará;feminino;filial_3
16;81.332.444/8256-64;Raimunda Melo Neto;(83) 18747-3131;22-04-1986;Mato Grosso;;filial_3
17;23425308386;Aderbal Costa;+55 (84) 1765-3501;11-06-1975;Amapá;masculino;filial_3
18;48764886862640;Dr. Valmir Carvalho;(43) 23808-6933;18-04-1982;Pernambuco;feminino;filial_3
19;50452862000;Roges;+55 (98) 7262-2865;08-09-1981;SC;feminino;filial_3
20;18764440613;Leticia Oliveira;(57) 65581-9084;22-10-1976;DF;feminino;filial_3
21;53517859354;Dr. Amadeu Pereira;+55 (42) 8798-5989;16-06-1988;RR;;filial_3
22;64439151515;Odirlei Braga;+55 (12) 2461-2736;17-02-1975;Rio Grande do Sul;masculino;filial_3
23;58276885764;Sra. Sirlene Xavier Neto;(49) 0288-0362;07-01-1985;AM;feminino;filial_3
24;47468634164326;Sra. Kazuhiro Souza;Fatores;20-10-1974;MS;feminino;filial_3
25;28678932597;Cícero Melo;(23) 3015-2544;26-07-1984;Pernambuco;masculino;filial_3
26;33364443002083;Josimar Silva Jr.;+55 (41) 6256-8707;08-11-1989;Rio Grande do Norte;feminino;filial_3
27;12658943105;Milena Carvalho Neto;+55 (25) 8337-2504;16-03-1979;Santa Catarina;feminino;filial_3
28;45030863168;Rinaldo Xavier;+55 (13) 4929-2145;14-12-1981;Rio Grande do Sul;feminino;filial_3
29;854.105.333-48;Sra. Maurico Carvalho;(34) 8031-5732;17-04-1964;Mato Grosso do Sul;;filial_3
30;855.874.262-62;Luanna Nogueira;(93) 0869-4496;19-02-1976;Acre;masculino;filial_3
31;40036738590;Valéria;+55 (92) 1767-7849;12-04-1989;Goiás;feminino;filial_3
32;23372129806;Sr. Rosilene;+55 (49) 1937-9969;14-12-1970;Santa Catarina;feminino;filial_3
33;95784791311;Sra. Maisa Moreira;Mercados;09-06-1974;Amazonas;feminino;filial_3
34;54216013821;Srta. Witney Xavier;+55 (48) 8136-8217;11-01-1981;Tocantins;feminino;filial_3
35;76665539270;Cosmo Silva;(98) 9154-8441;09-01-1985;Rio Grande do Sul;feminino;filial_3
36;123.307.477-64;Srta. Maeve;(94) 5316-8318;25-02-1969;RO;;filial_3
37;371.598.778-29;Srta. Neide Reis;(15) 88391-8484;27-06-1976;ES;;filial_3
38;20129121509;Sra. Miguel Batista;+55 (13) 9983-8988;03-12-1977;AP;masculino;filial_3
39;42574561401211;Sra. Neci Silva;(22) 26290-0974;12-05-1964;GO;masculino;filial_3
40;772.531.804-61;Tereza;+55 (09) 2952-4757;15-05-1985;Paraná;masculino;filial_3
41;23186939607;Danilo Macedo Filho;+55 (79) 3137-0158;28-11-1962;Rio Grande do Sul;feminino;filial_3
42;251.343.362-96;Giseli Melo Jr.;+55 (38) 7904-9548;13-10-1966;AL;masculino;filial_3
43;68070732653314;Sra. Hanno Carvalho;+55 (63) 1771-1007;18-09-1965;RJ;feminino;filial_3
44;40873210276600;Jovenal Santos;+55 (56) 2837-1221;01-01-1983;Mato Grosso do Sul;feminino;filial_3
45;571.454.632-61;Dr. Claudete Moraes;(27) 50989-8387;28-09-1978;Goiás;feminino;filial_3
46;05148179503;Fabiola Melo;(38) 7040-9934;24-01-1988;Espírito Santo;feminino;filial_3
47;94561145460;Srta. Bruce Reis;(86) 00822-6053;02-06-1973;RJ;feminino;filial_3
48;26161985500;Srta. Orandi Moraes Neto;(12) 40492-1030;03-05-1986;Espírito Santo;feminino;filial_3
49;23212222719;Dr. Valdinei Franco;(70) 96229-1500;19-06-1966;MS;;filial_3
50;904.463.135-72;Tomislav Braga;(99) 81516-2794;10-10-1969;SC;masculino;filial_3
51;834.833.535-85;Domilson Moreira;+55 (34) 6770-5158;03-12-1987;Espírito Santo;feminino;filial_3
52;378.623.486-80;Srta. Saikinia Xavier Jr.;+55 (28) 6657-0834;28-12-1965;ES;;filial_3
53;30424363040338;Paola Albuquerque Filho;(38) 49397-7328;04-07-1977;DF;feminino;filial_3
54;82583471872;Miriam Pereira Filho;(89) 8529-3569;17-02-1969;Alagoas;;filial_3
55;27157669129;Leandra Franco;(67) 17814-6432;14-07-1969;Mato Grosso do Sul;feminino;filial_3
56;18.274.535/0476-94;Srta. Alain Moreira Jr.;(41) 8940-2585;07-05-1964;SC;masculino;filial_3
57;46856600242835;Sr. Edison Carvalho;(14) 9072-6062;27-04-1982;AP;feminino;filial_3
58;01387435760;Dr. Caren Braga;(05) 9309-1575;21-12-1984;SC;masculino;filial_3
59;12812767737180;Suzan;(93) 48581-6250;27-04-1970;Piauí;masculino;filial_3
60;51820901610;Srta. Gersino Saraiva Neto;(02) 08155-1849;25-06-1980;Alagoas;;filial_3
61;583.853.714-00;Sr. Munekazu Moraes;+55 (89) 0074-2416;08-05-1980;Espírito Santo;masculino;filial_3
62;13.462.778/2434-90;Emilio Martins Filho Jr.;(98) 1304-5078;17-06-1987;MT;masculino;filial_3
63;12156400224795;Bachir Martins Filho;(92) 2802-7595;03-11-1985;AP;feminino;filial_3
64;108.283.121-25;Srta. Julian Silva;(07) 71820-4737;10-12-1980;Pernambuco;masculino;filial_3
65;535.708.262-60;Graziela Carvalho;(41) 52957-1576;15-05-1977;PR;feminino;filial_3
66;960.561.626-21;Edvaldo;+55 (41) 3610-3592;27-10-1970;Minas Gerais;masculino;filial_3
